date,ili_pne_admit,baseline,percent_change,status,ETLdate
03/01/2020 12:00:00 AM +0000,133,135.952381,-2.2,Insert,03/29/2021 11:27:03 AM +0000
03/02/2020 12:00:00 AM +0000,188,134,40.3,Insert,03/29/2021 11:27:03 AM +0000
03/03/2020 12:00:00 AM +0000,174,133.8095238,30,Insert,03/29/2021 11:27:03 AM +0000
03/04/2020 12:00:00 AM +0000,153,135.7142857,12.7,Insert,03/29/2021 11:27:03 AM +0000
03/05/2020 12:00:00 AM +0000,152,134.1428571,13.3,Insert,03/29/2021 11:27:03 AM +0000
03/06/2020 12:00:00 AM +0000,160,133.7142857,19.7,Insert,03/29/2021 11:27:03 AM +0000
03/07/2020 12:00:00 AM +0000,110,131.4285714,-16.3,Insert,03/29/2021 11:27:03 AM +0000
03/08/2020 12:00:00 AM +0000,141,130.4285714,8.1,Insert,03/29/2021 11:27:03 AM +0000
03/09/2020 12:00:00 AM +0000,196,127.4285714,53.8,Insert,03/29/2021 11:27:03 AM +0000
03/10/2020 12:00:00 AM +0000,192,127.3333333,50.8,Insert,03/29/2021 11:27:03 AM +0000
03/11/2020 12:00:00 AM +0000,196,126.1428571,55.4,Insert,03/29/2021 11:27:03 AM +0000
03/12/2020 12:00:00 AM +0000,251,125.6666667,99.7,Insert,03/29/2021 11:27:03 AM +0000
03/13/2020 12:00:00 AM +0000,265,126.2380952,109.9,Insert,03/29/2021 11:27:03 AM +0000
03/14/2020 12:00:00 AM +0000,240,128.6190476,86.6,Insert,03/29/2021 11:27:03 AM +0000
03/15/2020 12:00:00 AM +0000,302,128.8095238,134.5,Insert,03/29/2021 11:27:03 AM +0000
03/16/2020 12:00:00 AM +0000,374,132.7619048,181.7,Insert,03/29/2021 11:27:03 AM +0000
03/17/2020 12:00:00 AM +0000,372,133.3333333,179,Insert,03/29/2021 11:27:03 AM +0000
03/18/2020 12:00:00 AM +0000,431,134.7142857,219.9,Insert,03/29/2021 11:27:03 AM +0000
03/19/2020 12:00:00 AM +0000,537,138.1428571,288.7,Insert,03/29/2021 11:27:03 AM +0000
03/20/2020 12:00:00 AM +0000,644,140,360,Insert,03/29/2021 11:27:03 AM +0000
03/21/2020 12:00:00 AM +0000,579,139.3809524,315.4,Insert,03/29/2021 11:27:03 AM +0000
03/22/2020 12:00:00 AM +0000,611,140.6190476,334.5,Insert,03/29/2021 11:27:03 AM +0000
03/23/2020 12:00:00 AM +0000,818,142.6190476,473.6,Insert,03/29/2021 11:27:03 AM +0000
03/24/2020 12:00:00 AM +0000,954,141,576.6,Insert,03/29/2021 11:27:03 AM +0000
03/25/2020 12:00:00 AM +0000,1003,139.2380952,620.3,Insert,03/29/2021 11:27:03 AM +0000
03/26/2020 12:00:00 AM +0000,1067,137.6190476,675.3,Insert,03/29/2021 11:27:03 AM +0000
03/27/2020 12:00:00 AM +0000,1137,134.2380952,747,Insert,03/29/2021 11:27:03 AM +0000
03/28/2020 12:00:00 AM +0000,893,133.9047619,566.9,Insert,03/29/2021 11:27:03 AM +0000
03/29/2020 12:00:00 AM +0000,980,132.5714286,639.2,Insert,03/29/2021 11:27:03 AM +0000
03/30/2020 12:00:00 AM +0000,1233,127.1904762,869.4,Insert,03/29/2021 11:27:03 AM +0000
